publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p524041,earthquake,2019-07-13T21:30:09.649Z,2019-07-13T21:44:34.534Z,176.3631897,-40.11663055,2.068605255,23.46562576,M,,LOCSAT,confirmed,manual,iasp91,20,13,10,0.079118147,48.24393463,0.347136434,0
2019p523417,earthquake,2019-07-13T15:56:58.383Z,2019-07-13T15:59:14.234Z,176.0909576,-40.52754211,1.698203495,21.18177605,M,,LOCSAT,confirmed,manual,iasp91,21,13,8,0.095353775,65.05645752,0.525458366,0
2019p523382,earthquake,2019-07-13T15:38:39.682Z,2019-07-13T15:41:36.085Z,176.0986023,-40.23002243,1.260017866,38.79228592,M,,LOCSAT,confirmed,manual,iasp91,17,9,5,0.086231992,105.8141479,0.44333255,0
2019p523207,earthquake,2019-07-13T14:04:52.940Z,2019-07-13T14:11:58.352Z,175.8531189,-40.59210587,0.837270353,28.93067169,M,,LOCSAT,confirmed,manual,iasp91,10,7,2,0.097262457,90.20524597,0.448796917,0
2019p523178,earthquake,2019-07-13T13:49:36.733Z,2019-07-13T13:51:52.084Z,176.5601959,-40.19945908,1.720982238,40.53263474,M,,LOCSAT,confirmed,manual,iasp91,26,19,11,0.088101454,85.32949066,0.477396782,0
2019p523105,earthquake,2019-07-13T13:10:36.887Z,2019-07-13T13:14:08.296Z,175.5990448,-40.94275665,1.417666277,4.867955685,M,,LOCSAT,confirmed,manual,iasp91,14,9,7,0.078146942,64.62223053,0.349649492,0
2019p523073,earthquake,2019-07-13T12:53:24.660Z,2019-07-13T12:57:28.079Z,175.8484039,-40.58835602,1.039805232,24.74292755,M,,LOCSAT,confirmed,manual,iasp91,17,11,4,0.099259816,92.06562805,0.366570423,0
2019p522493,earthquake,2019-07-13T07:44:35.003Z,2019-07-13T07:54:38.695Z,176.12146,-40.26060486,3.942230282,30.83106422,M,,LOCSAT,confirmed,manual,iasp91,41,27,91,0.05150928,80.63288879,0.453206803,0
2019p522330,earthquake,2019-07-13T06:17:54.194Z,2019-07-13T06:25:00.835Z,175.6377869,-40.50249863,1.784040577,21.720644,M,,LOCSAT,confirmed,manual,iasp91,17,10,7,0.148723528,160.8384094,0.346891558,0
2019p522227,earthquake,2019-07-13T05:22:58.384Z,2019-07-13T05:27:13.870Z,175.1177063,-40.88596344,1.616524196,33.54000854,M,,LOCSAT,confirmed,manual,iasp91,25,17,7,0.079883866,111.020586,0.500455433,0
